i,x,y
0,0.0,0.0
1,-0.21896636486053467,-0.006970214657485485
2,-0.369803786277771,-0.01978149451315403
3,-0.4495408535003662,-0.048447877168655396
4,-0.48257187008857727,-0.08428528159856796
5,-0.48616576194763184,-0.10780273377895355
6,-0.497160941362381,-0.13654662668704987
7,-0.5096181035041809,-0.1721789538860321
8,-0.5185970067977905,-0.2099398374557495
9,-0.5288026928901672,-0.24164333939552307
10,-0.5431869626045227,-0.2812643051147461
11,-0.5848056674003601,-0.31969204545021057
12,-0.6151784062385559,-0.3635030686855316
13,-0.6150877475738525,-0.38449060916900635
14,-0.6057670712471008,-0.39839687943458557
15,-0.6364787817001343,-0.4360927939414978
16,-0.6530693769454956,-0.4862929880619049
17,-0.6617643237113953,-0.5246902108192444
18,-0.6718175411224365,-0.5620797276496887
19,-0.6820794343948364,-0.6168239712715149
20,-0.703890323638916,-0.6684658527374268
21,-0.7049413919448853,-0.7279275059700012
22,-0.7132284641265869,-0.7963473200798035
23,-0.7242685556411743,-0.8423501253128052
24,-0.7313210964202881,-0.8980355262756348
25,-0.7383062839508057,-0.9591787457466125
26,-0.7341598272323608,-1.013291835784912
27,-0.7353823781013489,-1.072786569595337
28,-0.7412741184234619,-1.143088698387146
29,-0.7462286949157715,-1.2231619358062744
30,-0.7748857736587524,-1.282004714012146
31,-0.7783249616622925,-1.3635598421096802
32,-0.803209662437439,-1.4339144229888916
33,-0.8146258592605591,-1.5167105197906494
34,-0.8335943818092346,-1.5966085195541382
35,-0.8531200885772705,-1.6860543489456177
36,-0.8677864074707031,-1.7838491201400757
37,-0.8797764778137207,-1.8788796663284302
38,-0.8842698931694031,-1.9786196947097778
39,-0.8900836110115051,-2.081747055053711
40,-0.8999714851379395,-2.1996212005615234
41,-0.9132429361343384,-2.332488775253296
42,-0.9086387753486633,-2.48759126663208
43,-0.9086164832115173,-2.648331642150879
44,-0.8894321918487549,-2.837265968322754
45,-0.8496341705322266,-3.048694610595703
46,-0.8099595904350281,-3.272738218307495
47,-0.7657995820045471,-3.506927251815796
48,-0.7340872287750244,-3.7329678535461426
49,-0.7102645635604858,-3.9022860527038574
50,-0.7012345790863037,-4.092710018157959
51,-0.6984440684318542,-4.28442907333374
52,-0.695117175579071,-4.440007209777832
53,-0.7133800387382507,-4.600216388702393
54,-0.7345137000083923,-4.743542194366455
55,-0.7415750026702881,-4.899692535400391
56,-0.7705857753753662,-5.039137363433838
57,-0.8046013116836548,-5.2036638259887695
58,-0.8331868052482605,-5.363304615020752
59,-0.886172354221344,-5.531230926513672
60,-0.9389222860336304,-5.7035441398620605
61,-0.9984416365623474,-5.888408660888672
62,-1.0580878257751465,-6.059807777404785
63,-1.1291314363479614,-6.20369815826416
64,-1.2037997245788574,-6.306389808654785
65,-1.268558382987976,-6.3906683921813965
66,-1.3632856607437134,-6.4705915451049805
67,-1.4478201866149902,-6.519351959228516
68,-1.5422357320785522,-6.560301303863525
69,-1.639114499092102,-6.573598384857178
70,-1.7330745458602905,-6.5821967124938965
71,-1.8295729160308838,-6.583392143249512
72,-1.962877631187439,-6.5944037437438965
73,-2.2163493633270264,-6.627376556396484
74,-2.5207090377807617,-6.697710990905762
75,-2.8148281574249268,-6.800684928894043
76,-3.0988128185272217,-6.889952659606934
77,-3.412651300430298,-7.0100297927856445
78,-3.7393321990966797,-7.114408016204834
79,-4.088505744934082,-7.196720123291016
80,-4.477126598358154,-7.253769874572754
81,-4.859922409057617,-7.352737903594971
82,-5.2149128913879395,-7.519076824188232
83,-5.56887149810791,-7.550455093383789
84,-5.953191757202148,-7.600183486938477
85,-6.339489936828613,-7.648842811584473
86,-6.729082107543945,-7.681545734405518
87,-7.092487812042236,-7.744625568389893
88,-7.41336727142334,-7.826050281524658
89,-7.75762939453125,-7.906251430511475
90,-8.075797080993652,-7.946141719818115
91,-8.331269264221191,-8.008590698242188
92,-8.540058135986328,-8.075374603271484
93,-8.756123542785645,-8.099066734313965
94,-9.06672477722168,-8.189595222473145
95,-9.38842487335205,-8.282706260681152
96,-9.704065322875977,-8.368121147155762
97,-10.025686264038086,-8.455037117004395
98,-10.336366653442383,-8.521942138671875
99,-10.629792213439941,-8.570990562438965
100,-10.932695388793945,-8.627968788146973
101,-11.201993942260742,-8.695229530334473
102,-11.48083209991455,-8.744946479797363
103,-11.754650115966797,-8.813431739807129
104,-12.033166885375977,-8.896220207214355
105,-12.191780090332031,-8.91681957244873
106,-12.379740715026855,-8.950557708740234
107,-12.670291900634766,-9.047085762023926
108,-12.936656951904297,-9.047730445861816
109,-13.194396018981934,-9.041767120361328
110,-13.445104598999023,-9.043769836425781
111,-13.671741485595703,-9.056279182434082
112,-13.888992309570312,-9.073060035705566
113,-14.102940559387207,-9.079304695129395
114,-14.298645973205566,-9.065528869628906
115,-14.475567817687988,-9.056486129760742
116,-14.623074531555176,-9.043133735656738
117,-14.764030456542969,-9.034586906433105
118,-14.909366607666016,-9.034778594970703
119,-15.046996116638184,-9.04124927520752
120,-15.17692756652832,-9.054525375366211
121,-15.296921730041504,-9.06289005279541
122,-15.407230377197266,-9.067882537841797
123,-15.497814178466797,-9.07298755645752
124,-15.57969856262207,-9.072425842285156
125,-15.651369094848633,-9.060002326965332
126,-15.70634937286377,-9.040716171264648
127,-15.75303840637207,-9.020201683044434
128,-15.787771224975586,-8.995609283447266
129,-15.827537536621094,-8.982361793518066
130,-15.864540100097656,-8.980769157409668
131,-15.89118480682373,-8.981395721435547
132,-15.91401195526123,-8.987035751342773
133,-15.929647445678711,-8.995627403259277
